SonnetID,octave_0,octave_1,octave_9,sestet_0,sestet_1,sestet_9,oct0_m_ses0,oct1_m_ses1,comment,
JuanaInesDeLaCruz_71,1,6,1,4,2,,-3,4,,
JuanaInesDeLaCruz_9,2,5,1,5,1,,-3,4,,
LopeDeVega_1000,2,5,,5,1,,-3,4,,
LopeDeVega_1028,2,5,1,5,1,,-3,4,,
LopeDeVega_1068,2,5,1,5,1,,-3,4,,
LopeDeVega_1140,1,6,1,4,2,,-3,4,,
LopeDeVega_406,1,6,1,4,2,,-3,4,,
LopeDeVega_609,1,6,1,4,2,,-3,4,,
LopeDeVega_855,2,5,1,5,1,,-3,4,,
LopeDeVega_956,1,6,1,4,2,,-3,4,,
LuisCarrilloySotomayor_6,1,6,1,4,2,,-3,4,,
PedroEspinosa_3,1,6,1,4,2,,-3,4,,
Quevedo_20,1,6,1,4,2,,-3,4,,
Quevedo_386,1,6,1,4,2,,-3,4,,
Quevedo_391,1,6,1,4,2,,-3,4,,
s094g_0188,2,5,1,5,1,,-3,4,,
s276g_0569,1,6,1,4,2,,-3,4,,
ArgensolaLupercio_12,1,7,,3,3,,-2,4,,
BernardinoDeRebolledo_23,1,7,,3,3,,-2,4,,
BocangelYUnzueta_16,1,7,,3,3,,-2,4,,
BocangelYUnzueta_34,3,5,,5,1,,-2,4,,
BocangelYUnzueta_48,3,5,,5,1,,-2,4,,
DiegoHurtadoDeMendoza_4,3,5,,5,1,,-2,4,,
FcodeBorjaYAragonPrincipeEsquilache_140,1,7,,3,3,,-2,4,,
FernandoDeHerrera_193,2,6,,4,2,,-2,4,,
FranciscoDeAldana_7,2,6,,4,2,,-2,4,,
FranciscoDeFigueroa_17,3,5,,5,1,,-2,4,,
GutierreDeCetina_113,1,7,,3,3,,-2,4,,
GutierreDeCetina_172,1,7,,3,3,,-2,4,,
GutierreDeCetina_75,1,7,,3,3,,-2,4,,
JosephDeLitalaYCastelvi_133,3,5,,5,1,,-2,4,,
JuanBoscan_74,1,7,,3,3,,-2,4,,
JuanDeArguijo_27,3,5,,5,1,,-2,4,,
JuanDeTassisYPeralta_100,1,7,,3,3,,-2,4,,
JuanDeTassisYPeralta_175,1,7,,3,3,,-2,4,,
JuanDeTassisYPeralta_198,1,7,,3,3,,-2,4,,
LopeDeVega_1027,3,5,,5,1,,-2,4,,
LopeDeVega_1171,3,5,,5,1,,-2,4,,
LopeDeVega_1187,2,6,,4,2,,-2,4,,
LopeDeVega_1229,1,7,,3,3,,-2,4,,
LopeDeVega_1293,3,5,,5,1,,-2,4,,
LopeDeVega_155,1,7,,3,3,,-2,4,,
LopeDeVega_192,3,5,,5,1,,-2,4,,
LopeDeVega_291,1,7,,3,3,,-2,4,,
LopeDeVega_444,1,7,,3,3,,-2,4,,
LopeDeVega_457,2,6,,4,2,,-2,4,,
LopeDeVega_469,1,7,,3,3,,-2,4,,
LopeDeVega_487,2,6,,4,2,,-2,4,,
LopeDeVega_498,2,6,,4,2,,-2,4,,
LopeDeVega_603,1,7,,3,3,,-2,4,,
LopeDeVega_666,2,6,,4,2,,-2,4,,
LopeDeVega_767,2,6,,4,2,,-2,4,,
LopeDeVega_807,1,7,,3,3,,-2,4,,
LopeDeVega_858,2,6,,4,2,,-2,4,,
LopeDeVega_959,2,6,,4,2,,-2,4,,
LopeDeVega_996,2,6,,4,2,,-2,4,,
MiraDeAmescua_23,1,7,,3,3,,-2,4,,
PedroDePadilla_4,2,6,,4,2,,-2,4,,
PedroSotoDeRojas_106,2,6,,4,2,,-2,4,,
PedroSotoDeRojas_112,2,6,,4,2,,-2,4,,
PedroSotoDeRojas_93,2,6,,4,2,,-2,4,,
PoloDeMedina_21,3,5,,5,1,,-2,4,,
Quevedo_334,2,6,,4,2,,-2,4,,
Quevedo_408,1,7,,3,3,,-2,4,,
Quevedo_49,2,6,,4,2,,-2,4,,
Quevedo_514,1,7,,3,3,,-2,4,,
Quevedo_88,3,5,,5,1,,-2,4,,
s022g_0042,1,7,,3,3,,-2,4,,
s208g_0448,1,7,,3,3,,-2,4,,
s256g_0538,1,7,,3,3,,-2,4,,
s430g_0935,2,6,,4,2,,-2,4,,
FernandoDeHerrera_109,1,5,2,4,2,,-3,3,,
FernandoDeHerrera_196,2,4,2,5,1,,-3,3,,
FranciscoDeLaTorre_75,1,5,2,4,2,,-3,3,,
GutierreDeCetina_176,1,5,2,4,2,,-3,3,,
JuanDeTassisYPeralta_75,1,5,2,4,2,,-3,3,,
