SonnetID	AuthorID	Author	Gender	Date	joy_call	sadness_call	anger_call	fear_call	disgust_call
LopezDeMendoza_37	LopezDeMendoza	Lopez de Mendoza	M	ND	0.6708860759493669	0.0	0.01282051282051283	0.013333333333333364	0.025000000000000022
LopezDeMendoza_38	LopezDeMendoza	Lopez de Mendoza	M	ND	0.7341772151898733	0.1282051282051282	0.02564102564102566	0.053333333333333344	0.012500000000000011
LopezDeMendoza_38	LopezDeMendoza	Lopez de Mendoza	M	ND	0.050632911392405056	0.5512820512820512	0.6538461538461537	0.8	0.5
LopezDeMendoza_39	LopezDeMendoza	Lopez de Mendoza	M	ND	0.6329113924050631	0.02564102564102566	0.038461538461538436	0.09333333333333338	0.0
LopezDeMendoza_3	LopezDeMendoza	Lopez de Mendoza	M	ND	0.012658227848101278	0.7692307692307692	0.5256410256410255	0.6399999999999999	0.3375
LopezDeMendoza_40	LopezDeMendoza	Lopez de Mendoza	M	ND	0.050632911392405056	0.5512820512820512	0.6538461538461537	0.8	0.5
LopezDeMendoza_4	LopezDeMendoza	Lopez de Mendoza	M	ND	0.7088607594936707	0.038461538461538436	0.038461538461538436	0.026666666666666672	0.11249999999999999
LopezDeMendoza_5	LopezDeMendoza	Lopez de Mendoza	M	ND	0.6835443037974682	0.02564102564102566	0.0641025641025641	0.053333333333333344	0.012500000000000011
LopezDeMendoza_6	LopezDeMendoza	Lopez de Mendoza	M	ND	0.11392405063291139	0.7179487179487178	0.4487179487179487	0.3466666666666666	0.4625
LuisCarrilloySotomayor_10	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.032911392405063244	0.3615384615384616	0.617948717948718	0.22133333333333333	0.4275
LuisCarrilloySotomayor_11	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.012658227848101278	0.6282051282051282	0.423076923076923	0.6320000000000001	0.22499999999999998
LuisCarrilloySotomayor_12	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.7341772151898733	0.1282051282051282	0.02564102564102566	0.053333333333333344	0.012500000000000011
LuisCarrilloySotomayor_13	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.6708860759493669	0.1923076923076923	0.0641025641025641	0.10666666666666663	0.09999999999999998
LuisCarrilloySotomayor_14	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.7974683544303796	0.0	0.01282051282051283	0.026666666666666672	0.025000000000000022
LuisCarrilloySotomayor_15	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.06329113924050633	0.4358974358974359	0.6794871794871794	0.38666666666666666	0.575
LuisCarrilloySotomayor_18	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.6835443037974682	0.038461538461538436	0.038461538461538436	0.12	0.03749999999999998
LuisCarrilloySotomayor_19	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.6582278481012658	0.01282051282051283	0.1282051282051282	0.27999999999999997	0.025000000000000022
LuisCarrilloySotomayor_1	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.0	0.8205128205128205	0.7820512820512819	0.5466666666666666	0.5125
LuisCarrilloySotomayor_1	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.6708860759493669	0.0	0.01282051282051283	0.013333333333333364	0.025000000000000022
LuisCarrilloySotomayor_21	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.7088607594936707	0.02564102564102566	0.0641025641025641	0.053333333333333344	0.012500000000000011
LuisCarrilloySotomayor_21	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.6708860759493669	0.0	0.01282051282051283	0.013333333333333364	0.025000000000000022
LuisCarrilloySotomayor_23	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.10126582278481011	0.6666666666666666	0.39743589743589736	0.5866666666666667	0.09999999999999998
LuisCarrilloySotomayor_23	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.08860759493670889	0.6666666666666666	0.5641025641025641	0.4799999999999999	0.38749999999999996
LuisCarrilloySotomayor_23	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.0	0.8205128205128205	0.7820512820512819	0.5466666666666666	0.5125
LuisCarrilloySotomayor_25	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.050632911392405056	0.9615384615384615	0.39743589743589736	0.8933333333333333	0.375
LuisCarrilloySotomayor_26	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.050632911392405056	0.9615384615384615	0.39743589743589736	0.8933333333333333	0.375
LuisCarrilloySotomayor_27	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.6708860759493669	0.0	0.01282051282051283	0.013333333333333364	0.025000000000000022
LuisCarrilloySotomayor_27	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.050632911392405056	0.6615384615384615	0.49743589743589733	0.27999999999999997	0.2
LuisCarrilloySotomayor_28	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.6962025316455696	0.07692307692307693	0.051282051282051266	0.13333333333333336	0.025000000000000022
LuisCarrilloySotomayor_29	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.050632911392405056	0.6615384615384615	0.49743589743589733	0.27999999999999997	0.2
LuisCarrilloySotomayor_31	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.822784810126582	0.14102564102564102	0.051282051282051266	0.2933333333333334	0.025000000000000022
LuisCarrilloySotomayor_32	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.6708860759493669	0.0	0.01282051282051283	0.013333333333333364	0.025000000000000022
LuisCarrilloySotomayor_32	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.7341772151898733	0.1282051282051282	0.02564102564102566	0.053333333333333344	0.012500000000000011
LuisCarrilloySotomayor_33	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.6075949367088607	0.10256410256410253	0.038461538461538436	0.026666666666666672	0.03749999999999998
LuisCarrilloySotomayor_34	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.7088607594936707	0.0	0.0	0.0	0.0
LuisCarrilloySotomayor_35	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.012658227848101278	0.7820512820512819	0.41025641025641024	0.32	0.38749999999999996
LuisCarrilloySotomayor_37	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.31898734177215177	0.46153846153846145	0.5897435897435896	0.688	0.3375
LuisCarrilloySotomayor_38	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.7594936708860758	0.07692307692307693	0.0	0.026666666666666672	0.0
LuisCarrilloySotomayor_39	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.050632911392405056	0.6615384615384615	0.49743589743589733	0.27999999999999997	0.2
LuisCarrilloySotomayor_39	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.050632911392405056	0.9615384615384615	0.39743589743589736	0.8933333333333333	0.375
LuisCarrilloySotomayor_39	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.822784810126582	0.14102564102564102	0.051282051282051266	0.2933333333333334	0.025000000000000022
LuisCarrilloySotomayor_3	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.620253164556962	0.08974358974358976	0.0641025641025641	0.12	0.0
LuisCarrilloySotomayor_40	LuisCarrilloySotomayor	Luis Carrilloy Sotomayor	M	ND	0.7341772151898733	0.1282051282051282	0.02564102564102566	0.053333333333333344	0.012500000000000011
