SonnetID	joy	sadness	anger	fear	disgust
BocangelYUnzueta_19	0	2	0	1	0
BocangelYUnzueta_2	1	0	0	0	0
BocangelYUnzueta_20	0	2	0	1	0
BocangelYUnzueta_21	1	0	0	0	0
BocangelYUnzueta_24	0	0	1	0	0
BocangelYUnzueta_25	0	1	0	0	0
BocangelYUnzueta_27	1	0	0	0	0
BocangelYUnzueta_28	2	1	0	0	0
BocangelYUnzueta_3	0	1	1	1	0
BocangelYUnzueta_30	1	0	0	0	0
BocangelYUnzueta_31	0	0	0	1	0
BocangelYUnzueta_34	1	0	0	0	0
BocangelYUnzueta_35	1	0	0	0	0
BocangelYUnzueta_36	0	0	2	1	0
BocangelYUnzueta_38	1	0	0	0	0
BocangelYUnzueta_39	0	0	1	1	0
BocangelYUnzueta_40	1	0	0	0	0
BocangelYUnzueta_41	0	1	0	0	0
BocangelYUnzueta_42	1	0	0	0	0
BocangelYUnzueta_43	1	0	0	0	0
BocangelYUnzueta_46	0	1	0	0	0
BocangelYUnzueta_47	0	1	0	0	0
BocangelYUnzueta_49	1	0	1	0	0
BocangelYUnzueta_5	0	0	1	0	0
BocangelYUnzueta_50	2	1	0	0	0
BocangelYUnzueta_52	0	0	0	1	0
BocangelYUnzueta_53	0	1	0	1	0
BocangelYUnzueta_54	0	1	0	2	0
BocangelYUnzueta_55	0	1	3	1	1
BocangelYUnzueta_56	1	0	0	0	0
BocangelYUnzueta_57	1	0	1	0	0
BocangelYUnzueta_58	1	0	0	1	0
BocangelYUnzueta_59	1	1	0	0	0
BocangelYUnzueta_60	1	0	0	0	0
BocangelYUnzueta_61	1	0	0	0	0
BocangelYUnzueta_64	1	0	1	1	0
BocangelYUnzueta_65	1	0	0	0	0
BocangelYUnzueta_66	1	1	0	0	0
BocangelYUnzueta_67	0	1	0	0	0
BocangelYUnzueta_68	1	0	0	0	0
BocangelYUnzueta_69	0	0	1	0	0
BocangelYUnzueta_70	1	0	0	0	0
BocangelYUnzueta_74	0	1	0	0	0
BocangelYUnzueta_77	0	1	0	0	0
BocangelYUnzueta_8	1	1	0	0	0
CancerYVelasco_1	2	1	0	1	0
CancerYVelasco_15	2	0	0	0	0
CancerYVelasco_16	1	0	0	0	0
CancerYVelasco_5	1	0	0	0	0
CancerYVelasco_6	0	1	0	0	0
CancerYVelasco_7	1	0	0	0	0
CancerYVelasco_9	1	0	0	0	0
Cervantes_10	1	0	0	0	0
Cervantes_12	2	0	0	0	0
Cervantes_13	1	0	0	0	0
Cervantes_14	0	1	0	1	0
Cervantes_16	1	0	0	0	0
Cervantes_17	1	0	0	0	0
Cervantes_18	2	1	0	1	0
Cervantes_2	0	1	0	1	0
Cervantes_21	2	0	0	0	0
Cervantes_22	0	2	1	1	1
Cervantes_24	1	0	0	0	0
Cervantes_26	1	0	0	0	0
Cervantes_27	1	0	0	0	0
Cervantes_28	0	1	0	0	0
Cervantes_29	1	0	0	0	0
Cervantes_3	1	0	0	0	0
Cervantes_30	1	0	0	0	0
Cervantes_31	1	1	0	0	0
Cervantes_32	1	0	0	0	0
Cervantes_33	0	1	1	0	1
Cervantes_36	2	0	0	0	0
Cervantes_38	1	1	0	1	0
Cervantes_46	1	0	0	0	0
Cervantes_48	1	0	0	0	0
Cervantes_52	0	1	0	1	0
