sID	_m	o0	o1	o9	s0	s1	s9	oa0	oa1	sa0	sa1	oms1	oms0	oms10	oms01	o1s1mo0s0	ov	sv	oa	sa	omsv	omsa
LopeDeVega_1152	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.5804	0.6166	0.6248	0.5376	-0.0362	0.0872
BernardinoDeRebolledo_52	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.5863	0.6228	0.5801	0.5160	-0.0365	0.0641
HernandodeAcunya_45	both	2	5	1	1	4	1	1	7	1	5	1	1	4	-2	6	0.5410	0.5778	0.6353	0.5362	-0.0368	0.0991
JuanDeTassisYPeralta_131	both	4	4		3	3			8		6	1	1	1	1	0	0.4494	0.4866	0.6922	0.6655	-0.0373	0.0267
LopeDeVega_1242	both	2	6		1	5			8		6	1	1	5	-3	8	0.5939	0.6323	0.5537	0.5236	-0.0383	0.0301
s449g_0962	both	3	5		2	4			8		6	1	1	3	-1	4	0.5591	0.5979	0.6590	0.5617	-0.0388	0.0973
ArgensolaBartolome_2	both	4	3	1	3	2	1	1	7	1	5	1	1	0	2	-2	0.4662	0.5057	0.5733	0.4965	-0.0395	0.0768
ArgensolaLupercio_41	both	4	3	1	3	2	1	1	7	1	5	1	1	0	2	-2	0.4662	0.5057	0.5733	0.4965	-0.0395	0.0768
Quevedo_324	both	4	4		2	3	1		8	1	5	1	2	2	1	1	0.4785	0.5185	0.5665	0.6621	-0.0400	-0.0956
Quevedo_314	both	1	5	2	2	4		2	6		6	1	-1	3	-3	6	0.5930	0.6331	0.6809	0.4870	-0.0401	0.1939
Quevedo_79	left_only	2	4	2	2	3	1					1	0	2	-1	3	0.5634	0.6039			-0.0405	
LopeDeVega_566	both	1	6	1	1	5		1	7	1	5	1	0	5	-4	9	0.6258	0.6664	0.4498	0.5163	-0.0406	-0.0665
JuanDeAlmeida_16	both	4	4		2	3	1		8	1	5	1	2	2	1	1	0.5185	0.5594	0.5165	0.6277	-0.0409	-0.1112
s248g_0523	both	3	5		2	4			8		6	1	1	3	-1	4	0.5418	0.5828	0.5586	0.5837	-0.0410	-0.0251
s052g_0106	both	2	5		2	4			7		6	1	0	3	-2	5	0.5805	0.6217	0.6302	0.7128	-0.0411	-0.0826
LopeDeVega_632	both	2	5	1	1	4	1	1	7	1	5	1	1	4	-2	6	0.5141	0.5554	0.5512	0.6567	-0.0413	-0.1056
JuanDeTassisYPeralta_158	both	5	3		3	2	1	1	7	1	5	1	2	0	3	-3	0.4375	0.4792	0.6269	0.5818	-0.0417	0.0450
LopeDeVega_789	both	2	5	1	1	4		1	7		5	1	1	4	-2	6	0.5924	0.6346	0.6055	0.5589	-0.0423	0.0466
BernardinoDeRebolledo_46	both	3	4	1	2	3	1	1	7	1	5	1	1	2	0	2	0.4777	0.5205	0.5785	0.6260	-0.0428	-0.0475
PedroEspinosa_6	both	3	5		2	4			8	1	5	1	1	3	-1	4	0.4954	0.5383	0.5232	0.5547	-0.0429	-0.0315
BernardinoDeRebolledo_1	both	3	5		2	4		1	7	1	5	1	1	3	-1	4	0.5082	0.5518	0.5581	0.6334	-0.0436	-0.0753
LopeDeVega_366	both	2	6		1	5			8		6	1	1	5	-3	8	0.5243	0.5690	0.6602	0.5201	-0.0447	0.1401
FranciscoDeLaTorre_44	both	4	2	2	4	1	1	2	6	1	5	1	0	-2	3	-5	0.3757	0.4209	0.5279	0.6397	-0.0452	-0.1118
JosephDeLitalaYCastelvi_135	both	2	4	2	2	3	1	2	6	1	5	1	0	2	-1	3	0.4528	0.4981	0.6668	0.4738	-0.0453	0.1930
Quevedo_326	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.5291	0.5749	0.5794	0.5915	-0.0458	-0.0121
PantaleonDeRibera_1	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.5602	0.6061	0.5826	0.5532	-0.0459	0.0294
s427g_0931	both	4	4		3	3			8		6	1	1	1	1	0	0.5053	0.5516	0.5926	0.7352	-0.0463	-0.1426
Quevedo_185	both	2	5	1	2	4		1	7		6	1	0	3	-2	5	0.5605	0.6072	0.5350	0.5650	-0.0467	-0.0301
JosephDeLitalaYCastelvi_94	both	2	5	1	2	4		2	6		6	1	0	3	-2	5	0.5598	0.6070	0.5422	0.5436	-0.0471	-0.0014
Quevedo_224	both	2	6		1	5		2	6		6	1	1	5	-3	8	0.5575	0.6057	0.4662	0.6017	-0.0482	-0.1355
